"data_type","alphabet_size","tier_size","language_class","factor_width","threshold","index","split","accuracy","precision","recall","f1","brier_score","model","train_size"
"OS",4,3,"TcoSL",6,1,3,"LR",0.87097,0.874346606389634,0.86646,0.870385438326854,0.124744674959336,"gru","Small"
"OS",4,3,"TcoSL",6,1,3,"SA",0.65798,0.596905977034056,0.9731,0.739932477644626,0.335669179865951,"gru","Small"
"OS",4,3,"TcoSL",6,1,3,"SR",0.94115,0.909587209626205,0.97968,0.943333365429983,0.0568794877311435,"gru","Small"
"OS",4,3,"TcoSL",6,1,4,"LA",0.79724,1,0.59448,0.745672570367769,0.200370944960327,"gru","Small"
"OS",4,3,"TcoSL",6,1,4,"LR",0.99384,1,0.98768,0.993801819206311,0.00604859974829448,"gru","Small"
"OS",4,3,"TcoSL",6,1,4,"SA",0.81268,0.999936045024303,0.6254,0.769514716015356,0.186938657156409,"gru","Small"
"OS",4,3,"TcoSL",6,1,4,"SR",0.99624,1,0.99248,0.996225809041998,0.00375937453988693,"gru","Small"
"OS",4,3,"TcoSL",6,1,5,"LA",0.81526,1,0.63052,0.773397443760273,0.182414910603905,"gru","Small"
"OS",4,3,"TcoSL",6,1,5,"LR",0.9912,1,0.9824,0.991121872477805,0.00868024576524191,"gru","Small"
"OS",4,3,"TcoSL",6,1,5,"SA",0.82262,1,0.64524,0.784371884952955,0.17533501629122,"gru","Small"
"OS",4,3,"TcoSL",6,1,5,"SR",0.99142,1,0.98284,0.991345746505013,0.00840602774673268,"gru","Small"
"OS",4,3,"TcoSL",6,1,6,"LA",0.78388,1,0.56776,0.724294534877787,0.215388061545108,"gru","Small"
"OS",4,3,"TcoSL",6,1,6,"LR",0.98762,1,0.97524,0.9874648144023,0.0122815477310755,"gru","Small"
"OS",4,3,"TcoSL",6,1,6,"SA",0.79141,1,0.58282,0.736432443360584,0.207693398536189,"gru","Small"
"OS",4,3,"TcoSL",6,1,6,"SR",0.98819,1,0.97638,0.988048857001184,0.0117728407512378,"gru","Small"
"OS",4,3,"TcoSL",6,1,7,"LA",0.73596,1,0.47192,0.641230501657699,0.263423942780035,"gru","Small"
"OS",4,3,"TcoSL",6,1,7,"LR",0.99101,1,0.98202,0.990928446736158,0.00885756822355025,"gru","Small"
"OS",4,3,"TcoSL",6,1,7,"SA",0.73529,1,0.47058,0.63999238395735,0.26399968258006,"gru","Small"
"OS",4,3,"TcoSL",6,1,7,"SR",0.99393,1,0.98786,0.99389293008562,0.00599482745287323,"gru","Small"
"OS",4,3,"TcoSL",6,1,8,"LA",0.80102,1,0.60204,0.751591720556291,0.198451087721944,"gru","Small"
"OS",4,3,"TcoSL",6,1,8,"LR",0.98864,1,0.97728,0.988509467551384,0.011336923751415,"gru","Small"
"OS",4,3,"TcoSL",6,1,8,"SA",0.79974,1,0.59948,0.749593617925826,0.199817763801143,"gru","Small"
"OS",4,3,"TcoSL",6,1,8,"SR",0.98745,1,0.9749,0.987290495721302,0.0125256968800246,"gru","Small"
